name,shape,numel,layer,kind
model.layers.21.self_attn.v_proj.weight,5120x5120,26214400,21,attn.v_proj
model.layers.21.self_attn.o_proj.weight,5120x5120,26214400,21,attn.o_proj
model.layers.21.mlp.gate_proj.weight,13824x5120,70778880,21,mlp.gate_proj
model.layers.21.mlp.up_proj.weight,13824x5120,70778880,21,mlp.up_proj
model.layers.21.mlp.down_proj.weight,5120x13824,70778880,21,mlp.down_proj
model.layers.21.input_layernorm.weight,5120,5120,21,pre_attn_norm
model.layers.21.post_attention_layernorm.weight,5120,5120,21,post_attn_norm
model.layers.22.self_attn.q_proj.weight,5120x5120,26214400,22,attn.q_proj
model.layers.22.self_attn.k_proj.weight,5120x5120,26214400,22,attn.k_proj
model.layers.22.self_attn.v_proj.weight,5120x5120,26214400,22,attn.v_proj
model.layers.22.self_attn.o_proj.weight,5120x5120,26214400,22,attn.o_proj
model.layers.22.mlp.gate_proj.weight,13824x5120,70778880,22,mlp.gate_proj
model.layers.22.mlp.up_proj.weight,13824x5120,70778880,22,mlp.up_proj
model.layers.22.mlp.down_proj.weight,5120x13824,70778880,22,mlp.down_proj
model.layers.22.input_layernorm.weight,5120,5120,22,pre_attn_norm
model.layers.22.post_attention_layernorm.weight,5120,5120,22,post_attn_norm
model.layers.23.self_attn.q_proj.weight,5120x5120,26214400,23,attn.q_proj
model.layers.23.self_attn.k_proj.weight,5120x5120,26214400,23,attn.k_proj
model.layers.23.self_attn.v_proj.weight,5120x5120,26214400,23,attn.v_proj
model.layers.23.self_attn.o_proj.weight,5120x5120,26214400,23,attn.o_proj
model.layers.23.mlp.gate_proj.weight,13824x5120,70778880,23,mlp.gate_proj
model.layers.23.mlp.up_proj.weight,13824x5120,70778880,23,mlp.up_proj
model.layers.23.mlp.down_proj.weight,5120x13824,70778880,23,mlp.down_proj
model.layers.23.input_layernorm.weight,5120,5120,23,pre_attn_norm
model.layers.23.post_attention_layernorm.weight,5120,5120,23,post_attn_norm
model.layers.24.self_attn.q_proj.weight,5120x5120,26214400,24,attn.q_proj
model.layers.24.self_attn.k_proj.weight,5120x5120,26214400,24,attn.k_proj
model.layers.24.self_attn.v_proj.weight,5120x5120,26214400,24,attn.v_proj
model.layers.24.self_attn.o_proj.weight,5120x5120,26214400,24,attn.o_proj
model.layers.24.mlp.gate_proj.weight,13824x5120,70778880,24,mlp.gate_proj
model.layers.24.mlp.up_proj.weight,13824x5120,70778880,24,mlp.up_proj
model.layers.24.mlp.down_proj.weight,5120x13824,70778880,24,mlp.down_proj
model.layers.24.input_layernorm.weight,5120,5120,24,pre_attn_norm
model.layers.24.post_attention_layernorm.weight,5120,5120,24,post_attn_norm
model.layers.25.self_attn.q_proj.weight,5120x5120,26214400,25,attn.q_proj
